instance,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
A-n32-k5,815.6214585654802,816.96253614442,789.1679731450746,818.5785958646821,855.4850996053427,790.3145807007579,789.6434001545036,814.1452099584013,814.3016867364369,839.1662931237524
A-n33-k5,711.4183562146306,761.8697944067063,687.7419163904237,739.4995968202386,703.0832943326727,757.3084663688636,725.1696977146644,697.8668785507081,687.8960192602224,752.7385886568438
A-n33-k6,789.7442094714253,753.9253153367725,779.76936603425,798.7155315802602,776.3281728343087,776.3281728343087,753.9253153367725,776.5139979825474,778.7194678940739,743.9205580160979
A-n34-k5,809.9055989260472,805.4393395429762,804.511687057767,818.2784078197014,810.1267186980334,810.1267186980334,809.9055989260472,822.7075657172488,809.9055989260472,798.2353792168592
A-n36-k5,929.1710510560083,864.921386140593,926.8073825274913,932.3967456089961,869.4643828084079,922.6952163147068,925.1579636489412,955.8205699928753,952.0580504154642,928.5604115501011
A-n37-k5,723.1732907969985,711.2928009849445,704.3366903812201,738.501357075544,735.4698714077564,730.024351628786,724.465683117809,712.5175198404845,725.4701392716383,737.817825540089
A-n37-k6,1059.9579080193196,1035.4313379365497,1008.6256639046497,1032.3406740977298,1059.6160130185845,1147.211790486752,1035.2500551813564,1032.166306121162,1036.6636462183453,1065.3503952081094
A-n38-k5,853.0970764881255,863.5345704059366,812.2504310143529,848.6830243182328,857.3102771906113,821.5676049787542,833.7692275253581,835.8305583683908,854.001859313666,875.2605208609241
A-n39-k5,883.8632587841057,927.1671531810005,923.812414057585,916.2943730947162,917.6965365549861,903.0160707122526,934.4247435762423,894.5811729558125,919.6692451508252,931.4875571340203
A-n39-k6,881.9549423416231,884.2565353856755,886.75886247513,870.7252267661278,876.4311946347116,884.3431155208692,860.3747981532089,871.4563904201697,884.6887399406861,881.9923605838505
A-n44-k6,1030.248536142203,1101.3350120104064,1080.7146187008748,1017.3824501519156,1072.2117776504024,1026.4573606352808,1049.639676909073,938.2065165468249,1040.9984389417305,1016.3271099831231
A-n45-k6,1079.2838023969066,1096.0341520760462,1086.5863046809454,1082.1714557227929,1060.4754121772382,1095.6520806875044,1080.8549184866881,1067.405574803149,1040.2775454375953,1094.1019992038882
A-n45-k7,1362.9556728894627,1283.3346542105016,1309.0202632306855,1275.3860522841505,1269.8609023616773,1325.9816137755809,1314.9853601159057,1231.1589556264428,1271.9292339688127,1268.9783340541203
A-n46-k7,1020.4262760690109,1045.6775915979124,1027.8384877573449,1097.2788649535696,1021.0592635643852,1082.565983323722,1024.8687753176532,1018.5047977077659,1037.3331685448693,1030.0678317602185
A-n48-k7,1203.4746788349537,1184.4232500069056,1179.7389077492057,1146.1443051136903,1207.716794958037,1214.3995339186263,1183.0531316875513,1151.8226236539858,1184.008399138629,1153.453798242143
A-n53-k7,1102.4747922366269,1099.122429224012,1112.5155905164752,1131.9998577562003,1126.6562174897613,1106.4552498998703,1113.4405479393881,1094.3140910338052,1095.90666323271,1107.0469384852706
A-n54-k7,1317.2715946377639,1360.8616826576074,1325.7483190934097,1304.983076393606,1290.2467697590464,1308.374365752115,1328.2058224409689,1332.8804509415402,1330.4218620440863,1306.2694622918432
A-n55-k9,1204.9554614909414,1126.899250816314,1195.6371724477785,1156.7370876607547,1220.0307483511465,1187.3042388685994,1180.54335401947,1144.2705423717796,1172.5025190743795,1204.5765402397144
A-n60-k9,1539.6831247153204,1548.9749318246159,1496.032260222741,1519.6733919592612,1527.6518699623787,1565.8773687685673,1547.850632764867,1525.3462805175393,1537.2482621142008,1556.0486303199507
A-n61-k9,1186.2669100344033,1163.4796115314814,1203.2039786268188,1150.8841314895087,1197.9836361042112,1162.1305473306259,1175.3317900416503,1166.0747448460554,1183.6416029011027,1190.2862635022211
A-n62-k8,1550.069572437393,1500.368256074857,1543.860658961908,1669.46830819687,1537.7687468174267,1533.6864434217616,1504.9254620236475,1503.9543167237493,1475.7522100477058,1494.5632687860932
A-n63-k10,1484.0828649097184,1473.1239820521284,1420.6994500966182,1449.3745536764145,1423.1773633288578,1448.6383611747624,1442.9758382166963,1555.08581880172,1464.5703766286674,1439.5784840647777
A-n63-k9,1723.1250815571789,1803.9627839137393,1842.963937139276,1804.341010681123,1740.6467767637803,1797.2934299054525,1873.027692831845,1848.3148558953237,1841.6784017125703,1822.4045158438587
A-n64-k9,1605.1943161345137,1590.5137804850883,1584.4131073045733,1603.1487126353402,1611.2381723669266,1608.3457986537435,1595.306216865675,1628.7577500099203,1570.733712625544,1619.973129208651
A-n65-k9,1309.6092088933376,1317.6894607760332,1321.0074349210267,1316.6285456478777,1302.4241112896523,1337.5925207103119,1343.8604542961489,1420.036767465313,1314.76509117142,1312.3897940737675
A-n69-k9,1280.3881360489665,1284.2840319893621,1285.3794687387328,1249.5181098977757,1274.6973008233751,1263.3092185573175,1257.0911527573448,1327.7526290919475,1289.801513151077,1322.8492220607523
A-n80-k10,2092.089351758404,2121.839470089494,2188.7036526091224,2082.166907932516,2148.536312681389,2141.732736727788,2118.2827176036103,2056.3684485357953,2296.87291627574,2178.8182339507234
